timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.7
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,37.7
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,12.3
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.1
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,3.1
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.1
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-series,เสน่หาวาโย,1,46.4
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-series,ด้วงกับเธอ Duang With You Series,2,40.7
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.5
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-series,เขมจิราต้องรอด,4,1.6
2026-09-07T08:22:58.105370+07:00,2026-09-07 08:22:58,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.9
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,37.5
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,12.3
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.1
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,3.1
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.1
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-series,เสน่หาวาโย,1,46.6
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-series,ด้วงกับเธอ Duang With You Series,2,41.3
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-series,คุณแฟนบ้านนอก Hometown Romance,3,9.7
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-series,เขมจิราต้องรอด,4,1.6
2026-09-07T12:40:10.036438+07:00,2026-09-07 12:40:10,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.9
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,37.5
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,12.3
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.1
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,3.1
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.1
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-series,เสน่หาวาโย,1,46.6
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-series,ด้วงกับเธอ Duang With You Series,2,41.2
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-series,คุณแฟนบ้านนอก Hometown Romance,3,9.8
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-series,เขมจิราต้องรอด,4,1.6
2026-09-07T12:55:56.921386+07:00,2026-09-07 12:55:56,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.9
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,37.5
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,12.3
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.1
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,3.1
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.1
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-series,เสน่หาวาโย,1,46.6
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-series,ด้วงกับเธอ Duang With You Series,2,41.2
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-series,คุณแฟนบ้านนอก Hometown Romance,3,9.8
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-series,เขมจิราต้องรอด,4,1.6
2026-09-07T13:00:19.421279+07:00,2026-09-07 13:00:19,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.7
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,38.5
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,11.9
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.0
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.9
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.0
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-series,เสน่หาวาโย,1,46.4
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-series,ด้วงกับเธอ Duang With You Series,2,40.5
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.8
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T08:01:27.777990+07:00,2026-09-08 08:01:27,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,38.7
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,38.5
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,11.9
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,6.0
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.9
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,2.0
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-series,เสน่หาวาโย,1,46.4
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-series,ด้วงกับเธอ Duang With You Series,2,40.5
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.8
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T09:08:56.079477+07:00,2026-09-08 09:08:56,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,39.9
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,39.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,10.6
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.3
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.6
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,เสน่หาวาโย,1,46.2
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,ด้วงกับเธอ Duang With You Series,2,40.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.0
